CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;eas;3;4.57;5.38;0.78;83;NA;NA;116;8;1
2;FALSE;as;1;2.07;0.38;0.29;35;NA;NA;NA;31;0
3;FALSE;mmas;2;3.32;7.88;0.04;11;NA;NA;NA;43;0
4;FALSE;acs;0;0.82;2.88;0.53;59;0.86;NA;NA;NA;NA
5;FALSE;eas;0;3.94;9.13;0.16;47;NA;NA;210;NA;NA
6;FALSE;acs;2;1.44;4.13;0.66;95;0.48;NA;NA;37;0
7;FALSE;as;3;0.19;1.63;0.41;23;NA;NA;NA;26;1
8;FALSE;ras;1;2.69;6.63;0.91;71;NA;76;NA;49;0
9;FALSE;acs;1;4.25;2.26;0.1;77;0.67;NA;NA;6;0
10;TRUE;mmas;3;1.75;7.26;0.6;29;NA;NA;NA;29;1
11;FALSE;ras;2;0.5;9.76;0.35;53;NA;57;NA;17;0
12;FALSE;as;0;3;4.76;0.84;5;NA;NA;NA;NA;NA
13;FALSE;ras;3;3.63;1.01;0.22;65;NA;45;NA;46;1
14;FALSE;mmas;1;1.13;6.01;0.72;17;NA;NA;NA;23;0
15;FALSE;eas;0;2.38;8.51;0.47;89;NA;NA;350;NA;NA
16;FALSE;as;2;4.88;3.51;0.97;41;NA;NA;NA;11;0
17;FALSE;ras;1;1.6;8.82;0.81;44;NA;98;NA;27;1
18;TRUE;mmas;3;4.1;3.82;0.32;92;NA;NA;NA;50;0
19;FALSE;as;0;0.35;6.32;0.07;68;NA;NA;NA;NA;NA
20;FALSE;eas;2;2.85;1.32;0.57;20;NA;NA;280;16;1
21;TRUE;acs;3;0.97;7.57;0.94;8;0.95;NA;NA;33;0
22;FALSE;eas;1;3.47;2.57;0.44;56;NA;NA;186;10;1
23;FALSE;as;2;2.22;5.07;0.19;80;NA;NA;NA;21;1
24;FALSE;ras;0;4.72;0.07;0.69;32;NA;10;NA;NA;NA
25;FALSE;as;3;2.53;9.45;0.75;62;NA;NA;NA;7;0
26;FALSE;eas;1;0.03;4.45;0.26;14;NA;NA;45;30;1
27;FALSE;acs;2;3.78;6.95;0.5;38;0.51;NA;NA;42;1
28;FALSE;mmas;0;1.28;1.95;1;86;NA;NA;NA;NA;NA
29;FALSE;ras;3;1.91;3.2;0.13;50;NA;29;NA;24;0
