CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
17;TRUE;FALSE;ras;3;2.32;0.05;0.64;26;NA;39;NA;38;0;17;17
46;TRUE;FALSE;acs;3;4.59;7.08;0.25;39;0.01;NA;NA;25;0;46;46
85;TRUE;FALSE;mmas;3;2.13;3.09;0.12;18;NA;NA;NA;10;1;85;85
138;TRUE;FALSE;acs;3;4.22;1.73;0.57;8;0.34;NA;NA;32;1;138;138
178;TRUE;FALSE;mmas;3;4.77;6.57;0.37;99;NA;NA;NA;42;1;178;178
254;TRUE;FALSE;mmas;3;4.79;2.99;0.19;43;NA;NA;NA;21;0;254;254
263;TRUE;FALSE;acs;3;4.43;2.47;0.74;10;0.27;NA;NA;29;1;263;263
295;TRUE;FALSE;acs;3;2.82;4.45;0.58;58;0.53;NA;NA;32;1;295;295
343;TRUE;FALSE;mmas;3;2.95;0.86;0.13;26;NA;NA;NA;11;0;343;343
446;TRUE;FALSE;acs;3;4.84;7.09;0.14;46;0.11;NA;NA;24;0;446;446
463;TRUE;FALSE;acs;3;4.36;7.94;0.37;60;0.12;NA;NA;19;1;463;463
465;TRUE;FALSE;acs;3;3.94;6.93;0.66;67;0.77;NA;NA;17;0;465;465
475;TRUE;TRUE;mmas;3;2.84;2.67;0.12;20;NA;NA;NA;14;0;475;475
477;TRUE;FALSE;acs;3;3.72;6.02;0.55;67;0.72;NA;NA;14;0;477;477
556;TRUE;FALSE;acs;3;3.47;5.9;0.7;67;0.62;NA;NA;9;1;556;556
585;TRUE;FALSE;acs;3;4.08;8.67;0.28;58;0.28;NA;NA;16;0;585;585
645;TRUE;FALSE;acs;3;3.4;8.88;0.25;45;0.28;NA;NA;18;0;645;645
721;TRUE;FALSE;mmas;3;2.8;2.19;0.15;28;NA;NA;NA;16;0;721;721
747;TRUE;FALSE;acs;3;3.8;8.54;0.23;51;0.29;NA;NA;16;0;747;747
819;TRUE;FALSE;mmas;3;3.14;2.92;0.11;21;NA;NA;NA;15;0;819;819
