CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;acs;0;0.12;2.94;0.84;82;0.34;NA;NA;NA;NA
2;FALSE;FALSE;eas;2;2.62;7.94;0.34;34;NA;NA;232;29;0
3;FALSE;FALSE;mmas;1;1.37;0.44;0.1;10;NA;NA;NA;40;0
4;TRUE;FALSE;ras;3;3.87;5.44;0.59;58;NA;34;NA;17;1
5;TRUE;FALSE;acs;2;2;4.19;0.96;70;0.97;NA;NA;46;0
6;FALSE;FALSE;mmas;0;4.5;9.19;0.47;22;NA;NA;NA;NA;NA
7;FALSE;FALSE;as;3;0.75;1.69;0.22;46;NA;NA;NA;12;1
8;FALSE;FALSE;ras;1;3.25;6.69;0.72;94;NA;96;NA;35;0
9;FALSE;FALSE;eas;2;1.06;9.82;0.03;88;NA;NA;373;9;0
10;FALSE;FALSE;as;0;3.56;4.82;0.53;40;NA;NA;NA;NA;NA
11;FALSE;FALSE;acs;1;4.81;2.32;0.28;64;0.16;NA;NA;20;0
12;FALSE;FALSE;mmas;3;2.31;7.32;0.78;16;NA;NA;NA;43;1
13;FALSE;FALSE;eas;1;0.43;6.07;0.9;52;NA;NA;91;14;0
14;FALSE;FALSE;acs;3;2.93;1.07;0.41;100;0.53;NA;NA;37;1
15;FALSE;FALSE;ras;0;1.68;8.57;0.16;76;NA;3;NA;NA;NA
16;FALSE;FALSE;as;2;4.18;3.57;0.65;28;NA;NA;NA;26;0
17;FALSE;FALSE;ras;2;3.72;1.38;0.87;49;NA;56;NA;24;1
18;FALSE;FALSE;as;0;1.22;6.38;0.38;97;NA;NA;NA;NA;NA
19;FALSE;FALSE;eas;3;4.97;3.88;0.13;73;NA;NA;162;36;0
20;FALSE;FALSE;acs;1;2.47;8.88;0.62;25;0.87;NA;NA;13;1
21;FALSE;FALSE;ras;3;0.59;7.63;0.75;37;NA;43;NA;42;0
22;FALSE;FALSE;mmas;1;3.09;2.63;0.25;85;NA;NA;NA;19;1
23;FALSE;FALSE;eas;0;4.34;0.13;0.99;13;NA;NA;256;NA;NA
24;FALSE;FALSE;as;2;1.84;5.13;0.5;61;NA;NA;NA;7;1
25;FALSE;FALSE;ras;1;0.9;4.5;0.44;31;NA;87;NA;45;1
26;FALSE;FALSE;mmas;3;3.4;9.5;0.93;79;NA;NA;NA;22;0
27;TRUE;FALSE;acs;2;4.65;7;0.19;7;0.06;NA;NA;33;1
28;FALSE;FALSE;eas;0;2.15;2;0.68;55;NA;NA;302;NA;NA
29;FALSE;FALSE;acs;0;2.78;5.75;0.07;43;0.69;NA;NA;NA;NA
30;FALSE;FALSE;mmas;2;0.28;0.75;0.56;91;NA;NA;NA;50;1
31;FALSE;FALSE;as;1;4.03;8.25;0.81;67;NA;NA;NA;39;1
32;FALSE;FALSE;eas;3;1.53;3.25;0.31;19;NA;NA;21;16;0
33;FALSE;FALSE;eas;3;0.98;2.79;0.45;65;NA;NA;525;29;0
34;FALSE;FALSE;acs;1;3.48;7.79;0.95;17;0.61;NA;NA;6;1
35;FALSE;FALSE;mmas;0;4.73;5.29;0.21;89;NA;NA;NA;NA;NA
36;FALSE;FALSE;ras;2;2.23;0.29;0.7;41;NA;98;NA;18;1
37;FALSE;FALSE;eas;0;0.36;1.54;0.58;5;NA;NA;619;NA;NA
38;FALSE;FALSE;as;2;2.86;6.54;0.08;53;NA;NA;NA;12;1
39;FALSE;FALSE;mmas;1;1.61;4.04;0.33;77;NA;NA;NA;24;1
40;FALSE;FALSE;acs;3;4.11;9.04;0.82;29;0.23;NA;NA;47;0
41;FALSE;FALSE;mmas;0;3.17;0.91;0.76;59;NA;NA;NA;NA;NA
42;FALSE;FALSE;acs;2;0.67;5.91;0.27;11;0.3;NA;NA;38;1
43;FALSE;FALSE;ras;1;4.42;3.41;0.02;35;NA;67;NA;50;1
44;FALSE;FALSE;as;3;1.92;8.41;0.51;83;NA;NA;NA;27;0
45;FALSE;FALSE;as;1;0.04;9.66;0.64;71;NA;NA;NA;32;1
46;FALSE;FALSE;ras;0;1.05;4.86;0.41;53;NA;97;NA;NA;NA
47;FALSE;FALSE;acs;2;3.66;0.88;0.27;30;0.54;NA;NA;28;0
48;FALSE;FALSE;ras;3;0.32;4.6;0.91;80;NA;46;NA;30;0
49;FALSE;FALSE;acs;2;2.1;7.82;0.35;7;0.62;NA;NA;48;0
50;FALSE;FALSE;mmas;2;3.4;2.35;0.7;82;NA;NA;NA;47;0
51;FALSE;FALSE;mmas;0;3.53;2.9;0.62;26;NA;NA;NA;NA;NA
52;FALSE;FALSE;acs;0;2.9;6.67;0.92;43;0.89;NA;NA;NA;NA
53;FALSE;FALSE;mmas;2;3.69;7.64;0.34;19;NA;NA;NA;7;1
54;FALSE;FALSE;acs;1;4.3;7.19;0.26;56;0.9;NA;NA;26;1
55;FALSE;FALSE;acs;2;4.35;4.73;0.05;13;0.42;NA;NA;17;0
56;TRUE;FALSE;acs;3;3.78;2.55;0.91;85;0.92;NA;NA;45;0
57;TRUE;FALSE;acs;3;3.58;5.01;0.74;25;0.08;NA;NA;44;0
58;FALSE;FALSE;mmas;2;4.42;5.85;0.89;95;NA;NA;NA;34;1
59;FALSE;FALSE;mmas;2;2.8;8.88;0.31;47;NA;NA;NA;22;0
60;FALSE;FALSE;acs;0;3.89;8.62;0.97;92;0.73;NA;NA;NA;NA
61;FALSE;FALSE;as;2;3.58;1.57;0.84;54;NA;NA;NA;49;0
62;FALSE;FALSE;acs;2;4.39;2.07;0.28;29;0.85;NA;NA;34;0
63;FALSE;FALSE;acs;1;2.62;5.72;0.42;96;0.75;NA;NA;10;0
64;TRUE;FALSE;acs;3;3.01;8.05;0.56;13;0.32;NA;NA;18;0
65;FALSE;FALSE;acs;0;1.51;3.18;0.86;91;0.24;NA;NA;NA;NA
66;TRUE;FALSE;acs;3;3.15;2.26;0.75;82;0.96;NA;NA;21;1
67;FALSE;FALSE;mmas;0;4.18;2.71;0.34;17;NA;NA;NA;NA;NA
68;FALSE;FALSE;acs;0;1.32;6.43;0.85;19;0.81;NA;NA;NA;NA
69;FALSE;FALSE;acs;2;2.12;5.08;0.92;74;0.81;NA;NA;48;0
70;FALSE;FALSE;acs;0;4.34;9.12;0.63;36;0.07;NA;NA;NA;NA
71;FALSE;FALSE;mmas;3;1.36;1.92;0.09;46;NA;NA;NA;30;0
72;FALSE;FALSE;ras;1;2.92;4.06;0.68;49;NA;68;NA;18;0
73;FALSE;FALSE;as;0;4.24;1.68;0.61;90;NA;NA;NA;NA;NA
74;FALSE;FALSE;acs;0;3.46;3.61;0.84;78;0.34;NA;NA;NA;NA
75;FALSE;FALSE;mmas;2;0.77;3.49;0.25;71;NA;NA;NA;26;0
76;FALSE;FALSE;acs;0;3.4;8.31;0.78;7;0.43;NA;NA;NA;NA
77;FALSE;FALSE;mmas;3;0.74;1.59;0.71;78;NA;NA;NA;21;0
78;FALSE;FALSE;as;3;4.97;0.29;0.82;82;NA;NA;NA;17;1
79;FALSE;FALSE;as;3;0.86;6.22;0.58;82;NA;NA;NA;29;1
80;FALSE;FALSE;ras;3;1.76;8.71;0.51;60;NA;65;NA;39;1
81;FALSE;FALSE;acs;2;0.23;5.16;0.69;20;0.81;NA;NA;50;0
82;FALSE;FALSE;acs;2;3.18;2.95;0.67;75;0.04;NA;NA;26;0
83;FALSE;FALSE;ras;1;1.56;5.32;0.11;52;NA;46;NA;39;1
84;FALSE;FALSE;as;2;2.91;7.71;0.67;26;NA;NA;NA;39;0
85;FALSE;FALSE;mmas;3;2.47;8.25;0.63;27;NA;NA;NA;31;0
86;FALSE;FALSE;as;2;3.65;2.56;0.39;33;NA;NA;NA;34;0
87;FALSE;FALSE;acs;0;2.45;2.21;0.95;63;0.25;NA;NA;NA;NA
88;FALSE;FALSE;as;3;2.79;4.07;0.45;68;NA;NA;NA;47;0
89;FALSE;FALSE;ras;3;1.09;8.36;0.54;34;NA;43;NA;26;1
90;FALSE;FALSE;acs;1;3.79;2.95;0.29;29;0.14;NA;NA;31;0
91;FALSE;FALSE;acs;0;3.47;4.01;0.82;37;0.34;NA;NA;NA;NA
92;FALSE;FALSE;acs;3;3.48;5.3;0.81;63;0.24;NA;NA;43;1
93;FALSE;FALSE;mmas;3;3.03;3.51;0.61;41;NA;NA;NA;47;1
94;FALSE;FALSE;ras;0;3.6;1.24;0.86;69;NA;34;NA;NA;NA
95;FALSE;FALSE;ras;0;2.42;8.46;1;64;NA;36;NA;NA;NA
96;FALSE;FALSE;acs;0;3.47;0.3;0.64;89;0.73;NA;NA;NA;NA
97;TRUE;FALSE;acs;3;3.1;1.11;0.68;63;0.8;NA;NA;50;0
98;FALSE;FALSE;as;3;3.38;9.75;0.94;16;NA;NA;NA;21;0
99;FALSE;FALSE;ras;3;1.87;7.18;0.5;11;NA;37;NA;38;1
100;FALSE;FALSE;mmas;0;4.3;2.01;0.79;95;NA;NA;NA;NA;NA
101;FALSE;FALSE;acs;3;1.84;5.93;0.65;70;0.73;NA;NA;49;1
102;FALSE;FALSE;acs;3;1.91;5.6;0.57;25;0.25;NA;NA;6;0
103;FALSE;FALSE;acs;1;3.17;0.59;0.41;63;0.93;NA;NA;28;0
104;TRUE;FALSE;acs;3;3.69;0.04;0.64;66;0.96;NA;NA;23;0
105;FALSE;FALSE;eas;2;2.47;2.42;0.8;68;NA;NA;267;31;1
106;FALSE;FALSE;acs;0;3.29;4.94;0.5;24;0.23;NA;NA;NA;NA
107;FALSE;FALSE;acs;3;2.25;0.9;0.83;23;0.49;NA;NA;34;0
108;FALSE;FALSE;ras;3;4.31;3.48;0.59;53;NA;79;NA;29;0
109;FALSE;FALSE;acs;3;3.34;2.25;0.99;40;0.62;NA;NA;32;0
110;FALSE;FALSE;acs;3;3.79;3.44;0.71;26;0.18;NA;NA;50;1
111;FALSE;FALSE;acs;2;0.26;6.04;0.59;19;0.12;NA;NA;13;1
112;FALSE;FALSE;ras;3;3.67;3.28;0.65;71;NA;34;NA;47;1
113;FALSE;FALSE;as;3;0.38;4.4;0.46;33;NA;NA;NA;8;0
114;FALSE;FALSE;acs;3;2.24;3.49;0.4;99;0.61;NA;NA;5;1
115;FALSE;FALSE;ras;0;2.01;1.4;0.72;54;NA;24;NA;NA;NA
116;FALSE;FALSE;acs;3;1.38;8.14;0.15;81;0.26;NA;NA;17;0
117;FALSE;FALSE;acs;3;1.82;6.13;0.99;60;0.52;NA;NA;34;1
118;TRUE;FALSE;acs;3;2.61;8.71;0.56;31;0.66;NA;NA;10;1
119;TRUE;FALSE;acs;3;3.04;3.19;0.29;53;0.68;NA;NA;23;1
120;FALSE;FALSE;as;3;3.98;7.25;0.59;48;NA;NA;NA;13;1
121;FALSE;FALSE;acs;3;4.79;3.99;0.37;42;0.13;NA;NA;32;0
122;FALSE;FALSE;eas;3;3.95;8.32;0.22;58;NA;NA;117;29;0
123;FALSE;FALSE;eas;0;1.47;0.57;0.5;68;NA;NA;658;NA;NA
124;FALSE;FALSE;acs;3;4.71;3.1;0.68;9;0.97;NA;NA;33;0
125;FALSE;FALSE;acs;3;3.55;6.58;0.47;12;0.26;NA;NA;30;0
126;TRUE;FALSE;ras;3;2.86;1.05;0.73;44;NA;25;NA;46;0
127;FALSE;FALSE;as;2;3.62;2.36;0.41;45;NA;NA;NA;40;0
128;FALSE;FALSE;mmas;0;2.76;1.23;0.99;13;NA;NA;NA;NA;NA
