EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;51;1835223131;2000-19.tsp;NA
2;87;1339924556;2000-231.tsp;NA
3;59;1308325789;2000-206.tsp;NA
4;285;2080511559;2000-707.tsp;NA
5;294;179023337;2000-716.tsp;NA
6;131;1998069042;2000-325.tsp;NA
7;171;1980606656;2000-416.tsp;NA
8;95;1175490731;2000-239.tsp;NA
9;42;1106419887;2000-137.tsp;NA
10;200;213032692;2000-504.tsp;NA
11;276;345636189;2000-639.tsp;NA
12;326;2119937120;2000-807.tsp;NA
13;58;1734410345;2000-205.tsp;NA
14;355;275569107;2000-836.tsp;NA
15;354;1830594135;2000-835.tsp;NA
