CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;as;3;2.6;0.7;0.82;20;NA;NA;NA;25;1
2;FALSE;FALSE;eas;1;0.1;5.7;0.33;68;NA;NA;252;48;0
3;FALSE;FALSE;mmas;0;1.35;8.2;0.57;44;NA;NA;NA;NA;NA
4;FALSE;FALSE;acs;2;3.85;3.2;0.08;92;0.46;NA;NA;36;0
5;FALSE;FALSE;as;1;4.47;1.95;0.95;32;NA;NA;NA;31;0
6;FALSE;FALSE;ras;3;1.97;6.95;0.45;80;NA;38;NA;8;1
7;FALSE;FALSE;eas;2;0.72;9.45;0.7;8;NA;NA;159;42;0
8;FALSE;FALSE;acs;0;3.22;4.45;0.2;56;0.83;NA;NA;NA;NA
9;FALSE;FALSE;mmas;1;3.54;6.32;0.02;26;NA;NA;NA;22;0
10;FALSE;FALSE;acs;3;1.04;1.32;0.51;74;0.02;NA;NA;45;1
11;FALSE;FALSE;as;2;2.29;3.82;0.26;50;NA;NA;NA;10;0
12;FALSE;FALSE;ras;0;4.79;8.82;0.76;98;NA;7;NA;NA;NA
13;FALSE;FALSE;eas;2;2.91;7.57;0.88;62;NA;NA;18;16;0
14;FALSE;FALSE;as;0;0.41;2.57;0.39;14;NA;NA;NA;NA;NA
15;TRUE;FALSE;mmas;3;4.16;5.07;0.14;38;NA;NA;NA;28;1
16;FALSE;FALSE;ras;1;1.66;0.07;0.64;86;NA;94;NA;5;0
17;FALSE;FALSE;ras;2;0.57;1.01;0.23;23;NA;53;NA;15;1
18;FALSE;FALSE;as;0;3.07;6.01;0.73;71;NA;NA;NA;NA;NA
19;FALSE;FALSE;acs;1;4.32;8.51;0.48;47;0.36;NA;NA;26;1
20;TRUE;FALSE;eas;3;1.82;3.51;0.98;95;NA;NA;229;49;0
21;FALSE;FALSE;eas;0;2.44;2.26;0.11;35;NA;NA;135;NA;NA
22;FALSE;FALSE;as;2;4.94;7.26;0.61;83;NA;NA;NA;21;1
23;FALSE;FALSE;ras;3;3.69;9.76;0.36;11;NA;41;NA;32;0
24;FALSE;FALSE;mmas;1;1.19;4.76;0.85;59;NA;NA;NA;9;1
25;FALSE;FALSE;acs;2;1.5;5.38;0.79;29;0.55;NA;NA;41;1
26;FALSE;FALSE;eas;0;4;0.38;0.3;77;NA;NA;88;NA;NA
27;FALSE;FALSE;mmas;3;0.25;7.88;0.05;53;NA;NA;NA;6;0
28;FALSE;FALSE;ras;1;2.75;2.88;0.54;5;NA;85;NA;29;1
29;FALSE;FALSE;mmas;2;3.38;1.63;0.42;65;NA;NA;NA;35;1
30;FALSE;FALSE;acs;0;0.88;6.63;0.91;17;0.18;NA;NA;NA;NA
31;FALSE;FALSE;eas;3;4.63;4.13;0.67;41;NA;NA;370;23;0
32;FALSE;FALSE;as;1;2.13;9.13;0.17;89;NA;NA;NA;46;1
33;FALSE;FALSE;acs;0;2.05;3.35;0.37;64;0.57;NA;NA;NA;NA
34;FALSE;FALSE;mmas;2;4.55;8.35;0.87;16;NA;NA;NA;49;0
35;FALSE;FALSE;as;1;0.8;0.85;0.62;40;NA;NA;NA;37;0
36;FALSE;FALSE;ras;3;3.3;5.85;0.13;88;NA;17;NA;14;1
37;FALSE;FALSE;mmas;0;2.68;9.6;0.99;52;NA;NA;NA;NA;NA
38;FALSE;FALSE;ras;2;0.18;4.6;0.5;100;NA;80;NA;31;0
39;FALSE;FALSE;eas;1;3.93;7.1;0.25;76;NA;NA;616;43;0
40;FALSE;FALSE;as;3;1.43;2.1;0.74;28;NA;NA;NA;20;1
41;FALSE;FALSE;acs;1;2.99;1.48;0.81;82;0.88;NA;NA;11;0
42;FALSE;FALSE;mmas;3;0.49;6.48;0.31;34;NA;NA;NA;34;1
43;FALSE;FALSE;eas;2;1.74;8.98;0.56;58;NA;NA;381;23;0
44;FALSE;FALSE;as;0;4.24;3.98;0.06;10;NA;NA;NA;NA;NA
45;FALSE;FALSE;mmas;2;3.61;2.73;0.19;46;NA;NA;NA;5;0
46;FALSE;FALSE;ras;0;1.11;7.73;0.68;94;NA;49;NA;NA;NA
47;TRUE;FALSE;acs;3;4.86;0.23;0.93;70;0.26;NA;NA;40;1
48;FALSE;FALSE;eas;1;2.36;5.23;0.43;22;NA;NA;663;17;0
49;FALSE;FALSE;as;2;0.96;6.16;0.96;79;NA;NA;NA;27;1
50;FALSE;FALSE;ras;0;3.46;1.16;0.47;31;NA;33;NA;NA;NA
51;FALSE;FALSE;mmas;1;4.71;3.66;0.71;55;NA;NA;NA;15;1
52;TRUE;FALSE;acs;3;2.21;8.66;0.22;7;0.72;NA;NA;38;0
53;FALSE;FALSE;eas;3;2.83;4.91;0.59;91;NA;NA;592;44;0
54;FALSE;FALSE;acs;1;0.33;9.91;0.09;43;0.1;NA;NA;21;1
55;FALSE;FALSE;ras;2;4.08;2.41;0.34;19;NA;96;NA;10;1
56;FALSE;FALSE;mmas;0;1.58;7.41;0.84;67;NA;NA;NA;NA;NA
57;FALSE;FALSE;mmas;2;1.89;0.54;0.03;73;NA;NA;NA;30;1
58;FALSE;FALSE;ras;0;4.39;5.54;0.53;25;NA;27;NA;NA;NA
59;FALSE;FALSE;as;1;3.14;8.04;0.28;97;NA;NA;NA;41;1
60;FALSE;FALSE;eas;3;0.64;3.04;0.78;49;NA;NA;733;18;0
61;FALSE;FALSE;ras;1;1.27;4.29;0.9;13;NA;64;NA;36;1
62;FALSE;FALSE;as;3;3.77;9.29;0.4;61;NA;NA;NA;13;0
63;FALSE;FALSE;eas;0;0.02;1.79;0.16;85;NA;NA;452;NA;NA
64;FALSE;FALSE;acs;2;2.52;6.79;0.65;37;0.79;NA;NA;47;1
65;FALSE;FALSE;as;3;3.26;7.18;0.91;9;NA;NA;NA;16;1
66;FALSE;FALSE;ras;1;0.76;2.18;0.41;57;NA;23;NA;39;0
67;FALSE;FALSE;eas;0;2.01;4.68;0.66;33;NA;NA;645;NA;NA
68;FALSE;FALSE;acs;2;4.51;9.68;0.16;81;0.69;NA;NA;50;0
69;FALSE;FALSE;as;1;3.89;5.93;0.78;45;NA;NA;NA;45;0
70;FALSE;FALSE;eas;3;1.39;0.93;0.29;93;NA;NA;551;22;1
71;FALSE;FALSE;mmas;2;0.14;3.43;0.54;21;NA;NA;NA;33;0
72;FALSE;FALSE;ras;0;2.64;8.43;0.04;69;NA;85;NA;NA;NA
73;FALSE;FALSE;as;2;1.7;7.81;0.47;39;NA;NA;NA;24;0
74;FALSE;FALSE;eas;0;4.2;2.81;0.97;87;NA;NA;692;NA;NA
75;FALSE;FALSE;acs;3;0.45;5.31;0.72;63;0.87;NA;NA;36;1
76;FALSE;FALSE;mmas;1;2.95;0.31;0.23;15;NA;NA;NA;13;0
77;FALSE;FALSE;eas;3;4.82;1.56;0.1;51;NA;NA;411;42;1
78;FALSE;FALSE;acs;1;2.32;6.56;0.6;99;0.5;NA;NA;19;0
79;FALSE;FALSE;mmas;0;1.07;9.06;0.35;27;NA;NA;NA;NA;NA
80;FALSE;FALSE;ras;2;3.57;4.06;0.84;75;NA;42;NA;7;0
81;FALSE;FALSE;mmas;2;4.36;1.24;0.69;96;NA;NA;NA;9;1
82;FALSE;FALSE;ras;0;1.86;6.24;0.2;48;NA;89;NA;NA;NA
83;FALSE;FALSE;eas;1;0.61;8.74;0.94;72;NA;NA;481;20;1
84;TRUE;FALSE;acs;3;3.11;3.74;0.44;24;0.15;NA;NA;43;0
85;FALSE;FALSE;mmas;3;2.48;9.99;0.81;84;NA;NA;NA;37;0
86;FALSE;FALSE;acs;1;4.98;4.99;0.32;36;0.53;NA;NA;14;1
87;FALSE;FALSE;ras;2;1.23;7.49;0.07;12;NA;26;NA;26;1
88;FALSE;FALSE;as;0;3.73;2.49;0.57;60;NA;NA;NA;NA;NA
89;FALSE;FALSE;as;1;1.54;3.12;0.13;78;NA;NA;NA;35;1
90;FALSE;FALSE;ras;3;4.04;8.12;0.63;30;NA;70;NA;12;0
91;TRUE;FALSE;mmas;3;3.83;6.3;0.24;36;NA;NA;NA;43;0
92;FALSE;FALSE;mmas;1;2.23;3.46;0.03;48;NA;NA;NA;22;1
93;FALSE;FALSE;mmas;3;3.49;5.35;0.39;50;NA;NA;NA;19;1
94;FALSE;FALSE;acs;2;3.83;2.45;0.28;54;0.78;NA;NA;37;1
95;FALSE;FALSE;ras;0;4.96;5.99;0.26;92;NA;45;NA;NA;NA
96;FALSE;FALSE;eas;1;4.46;4.87;0.99;16;NA;NA;285;36;1
97;FALSE;FALSE;as;3;2.36;3.66;0.4;5;NA;NA;NA;46;1
98;FALSE;FALSE;mmas;3;2.63;5.51;0.26;54;NA;NA;NA;24;1
99;FALSE;FALSE;acs;2;2.82;0.44;0.3;73;0.05;NA;NA;29;1
100;FALSE;FALSE;mmas;3;3.82;1.01;0.89;57;NA;NA;NA;49;1
101;FALSE;FALSE;eas;3;3.39;9;0.08;26;NA;NA;40;28;1
102;FALSE;FALSE;ras;3;3.83;4.37;0.04;98;NA;84;NA;27;1
103;FALSE;FALSE;ras;2;2.36;2.69;0.64;32;NA;32;NA;37;0
104;FALSE;FALSE;mmas;0;4.99;2.52;0.72;45;NA;NA;NA;NA;NA
105;FALSE;FALSE;ras;1;3.08;4.32;0.46;45;NA;99;NA;18;0
106;FALSE;FALSE;eas;3;4.94;8.26;0.74;55;NA;NA;387;42;0
107;FALSE;FALSE;mmas;3;4.57;6;0.87;12;NA;NA;NA;22;0
108;FALSE;FALSE;as;3;4.29;4.34;0.34;45;NA;NA;NA;30;1
109;FALSE;FALSE;acs;0;0.76;3.99;0.59;58;0.14;NA;NA;NA;NA
110;FALSE;FALSE;as;3;4.46;2.21;0.67;40;NA;NA;NA;46;0
111;FALSE;FALSE;eas;3;2.97;4.9;0.45;20;NA;NA;508;47;1
112;FALSE;FALSE;as;1;3.21;0.21;0.94;45;NA;NA;NA;20;1
113;FALSE;FALSE;as;1;2.6;5.49;0.9;37;NA;NA;NA;24;0
114;FALSE;FALSE;ras;3;2.53;7.35;0.44;41;NA;98;NA;28;1
115;FALSE;FALSE;mmas;3;2.93;7.08;0.25;78;NA;NA;NA;14;0
116;FALSE;FALSE;ras;2;2.82;9.63;0.46;68;NA;38;NA;26;1
117;FALSE;FALSE;mmas;2;1;9.43;0.54;66;NA;NA;NA;24;1
