CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;mmas;1;3.45;0.11;0.66;35;NA;NA;NA;5;1
2;FALSE;ras;3;0.95;5.11;0.16;83;NA;97;NA;28;0
3;FALSE;as;2;2.2;7.61;0.9;11;NA;NA;NA;16;1
4;FALSE;eas;0;4.7;2.61;0.41;59;NA;NA;749;NA;NA
5;FALSE;eas;3;4.08;1.36;0.53;23;NA;NA;468;45;0
6;FALSE;acs;1;1.58;6.36;0.04;71;0.71;NA;NA;22;1
7;FALSE;as;0;0.33;8.86;0.78;47;NA;NA;NA;NA;NA
8;FALSE;ras;2;2.83;3.86;0.29;95;NA;10;NA;10;1
9;FALSE;eas;0;1.26;4.48;0.22;5;NA;NA;608;NA;NA
10;FALSE;acs;2;3.76;9.48;0.72;53;0.39;NA;NA;42;1
11;FALSE;ras;1;0.01;1.98;0.97;77;NA;28;NA;31;1
12;TRUE;mmas;3;2.51;6.98;0.47;29;NA;NA;NA;8;0
13;FALSE;ras;3;1.89;0.73;0.84;65;NA;91;NA;25;0
14;FALSE;as;1;4.39;5.73;0.35;17;NA;NA;NA;48;1
15;FALSE;acs;0;3.14;8.23;0.6;89;0.77;NA;NA;NA;NA
16;FALSE;mmas;2;0.64;3.23;0.1;41;NA;NA;NA;36;1
17;FALSE;eas;2;0.48;7.29;0.63;38;NA;NA;632;21;0
18;FALSE;as;0;2.98;2.29;0.13;86;NA;NA;NA;NA;NA
19;FALSE;mmas;3;1.73;9.79;0.38;62;NA;NA;NA;32;1
20;FALSE;ras;1;4.23;4.79;0.87;14;NA;50;NA;9;0
21;FALSE;mmas;1;1.11;8.54;0.5;98;NA;NA;NA;26;0
22;FALSE;acs;3;3.61;3.54;1;50;0.92;NA;NA;49;1
23;FALSE;as;2;4.86;1.04;0.25;74;NA;NA;NA;15;0
24;FALSE;ras;0;2.36;6.04;0.75;26;NA;63;NA;NA;NA
25;FALSE;ras;3;4.55;7.92;0.07;8;NA;81;NA;6;1
26;FALSE;as;1;2.05;2.92;0.56;56;NA;NA;NA;29;0
27;FALSE;eas;2;3.3;5.42;0.81;80;NA;NA;679;41;0
28;FALSE;acs;0;0.8;0.42;0.32;32;0.24;NA;NA;NA;NA
29;FALSE;eas;1;2.67;9.17;0.19;44;NA;NA;397;46;0
